iter	RMSE
0	0.8451155211
1	0.8262943267
2	0.8080357486
3	0.7907015529
4	0.773182617
5	0.7566046845
6	0.7403695331
7	0.724778457
8	0.7101812554
9	0.6957825986
10	0.6817196788
11	0.6685298454
12	0.6555574131
13	0.6427044622
14	0.6304683122
15	0.6188572023
16	0.6073921102
17	0.5964624857
18	0.5857894015
19	0.5756280302
20	0.5657687076
21	0.5563961117
22	0.547216511
23	0.5382050013
24	0.529717525
25	0.5213932833
26	0.5135109472
27	0.5059762116
28	0.4984821506
29	0.4913673846
30	0.4845991632
31	0.4780398427
32	0.4716314817
33	0.4654511625
34	0.4598216843
35	0.4541986739
36	0.4489367212
37	0.4437472274
38	0.4385500606
39	0.433981502
40	0.4290528791
41	0.4245255887
42	0.4203492577
43	0.4161692359
44	0.4121087581
45	0.4083864089
46	0.4047293055
47	0.4010900362
48	0.3977694506
49	0.3946003665
50	0.3913819762
51	0.3885273656
52	0.3855588586
53	0.3828531631
54	0.3802381259
55	0.3777205679
56	0.3751449162
57	0.3727769782
58	0.370502442
59	0.3682172879
60	0.3660704344
61	0.3639909354
62	0.3621242317
63	0.3602926373
64	0.3583218336
65	0.3564915736
66	0.3546603807
67	0.3530201975
68	0.3514139263
69	0.3498411953
70	0.3484129882
71	0.3470080869
72	0.3454935027
73	0.344073175
74	0.3427366194
75	0.341347599
76	0.340041458
77	0.3388714975
78	0.3377551689
79	0.3365575743
80	0.3354187521
81	0.3342113797
82	0.3332190672
83	0.3322639739
84	0.3313074053
85	0.330301759
86	0.3294200186
87	0.3284851008
88	0.3276081349
89	0.3268527296
90	0.3261186573
91	0.3253833853
92	0.3245166927
93	0.3237816795
94	0.3230875954
95	0.3224535851
96	0.3218263174
97	0.3210857273
98	0.3202433189
99	0.3197040419
100	0.3190004271
101	0.3184878525
102	0.3179721985
103	0.3174716164
104	0.316739113
105	0.3161593629
106	0.3156178548
107	0.3150364825
108	0.3145076507
109	0.3139516564
110	0.3132219915
111	0.3127214002
112	0.3122678086
113	0.3118439271
114	0.3113932561
115	0.3110149487
116	0.3104403186
117	0.3100705955
118	0.3096055215
119	0.3092358107
120	0.3088885401
121	0.3085374197
122	0.3081132178
123	0.3076397251
124	0.3072118804
125	0.3067535098
126	0.3065049784
127	0.3061201253
128	0.3058729088
129	0.3055989117
130	0.3052625067
131	0.3048167509
132	0.3045015758
133	0.3041517927
134	0.3038636265
135	0.303559539
136	0.3032637027
137	0.3029993042
138	0.3027201785
139	0.3022715487
140	0.3020373696
141	0.3015402929
142	0.3012602052
143	0.3009055354
144	0.3005838539
145	0.3001635562
146	0.2998599941
147	0.2995545864
148	0.2993701934
149	0.2990889684
150	0.2988727589
151	0.2985186022
152	0.2981462118
153	0.2978416222
154	0.2975731148
155	0.2973449495
156	0.2971891609
157	0.2967961196
158	0.2964846658
159	0.2962020074
160	0.2959433758
161	0.2956258685
162	0.2954764119
163	0.2953071918
164	0.2950775321
165	0.2949028047
166	0.2947353738
167	0.2945131308
168	0.2942162779
169	0.2940487474
170	0.2938780584
171	0.2936279463
172	0.2933433796
173	0.2931308339
174	0.2928264324
175	0.2926400037
176	0.2924513215
177	0.2923007115
178	0.2920466101
179	0.2919129295
180	0.2917127023
181	0.2915803317
182	0.2912293032
183	0.2910261125
184	0.2908439971
185	0.2906055747
186	0.2904306215
187	0.2901202179
188	0.2899994423
189	0.2898334679
190	0.289738255
191	0.2895998816
192	0.2894373381
193	0.2891696319
194	0.2887753196
195	0.2886538734
196	0.288496393
197	0.2881220418
198	0.2879871472
199	0.2877683935
200	0.2876267225
201	0.2875256594
202	0.2873810079
203	0.287238803
204	0.2870717128
205	0.2868392007
206	0.2866543632
207	0.286531996
208	0.286264845
209	0.2861871904
210	0.2859863627
211	0.2857868309
212	0.285427288
213	0.2852246289
214	0.2850374995
215	0.2849274289
216	0.2846257393
217	0.2844553236
218	0.2842592333
219	0.2838853782
220	0.2838122181
221	0.2836424211
222	0.2833883957
223	0.2831944762
224	0.2829739027
225	0.2827960296
226	0.2826174222
227	0.2824765576
228	0.2822714914
229	0.2821601967
230	0.2819335186
231	0.2817760306
232	0.2816642332
233	0.2814671339
234	0.2812968097
235	0.2811780879
236	0.2810478662
237	0.280869179
238	0.280711925
239	0.2805697614
240	0.2803302969
241	0.2801723621
242	0.2800244625
243	0.2799002477
244	0.2796985954
245	0.2795845782
246	0.2794643059
247	0.2793036038
248	0.2792452391
249	0.279180702
250	0.2789943571
251	0.2787945027
252	0.2786466268
253	0.2785160877
254	0.2784148032
255	0.2782996648
256	0.278242588
257	0.2781213226
258	0.2779053551
259	0.2777304044
260	0.2776352979
261	0.2775048543
262	0.277442379
263	0.2773450878
264	0.2772038527
265	0.2770840665
266	0.276952609
267	0.2768545204
268	0.2767570833
269	0.2766003849
270	0.2765071134
271	0.2763427478
272	0.2761595101
273	0.2760033366
274	0.275845849
275	0.2757849285
276	0.2755249602
277	0.2752209702
278	0.275022006
279	0.2747088006
280	0.2745919444
281	0.2743521439
282	0.2741982312
283	0.274023543
284	0.2739127837
285	0.2738036621
286	0.2737017752
287	0.2734949394
288	0.273342531
289	0.273198701
290	0.2730445948
291	0.2729446011
292	0.2727774172
293	0.2726798745
294	0.2725958025
295	0.2725200263
296	0.2723779151
297	0.2720969384
298	0.2719561814
299	0.27184442
300	0.2716656339
301	0.2715084574
302	0.2712314282
303	0.2710425708
304	0.2709175291
305	0.270732595
306	0.2705970178
307	0.2704340242
308	0.2703250591
309	0.2701905063
310	0.2700281159
311	0.2698698449
312	0.2698123378
313	0.2697273532
314	0.2696191335
315	0.2694785395
316	0.2692866499
317	0.2690602918
318	0.2689413245
319	0.2687545428
320	0.2686326114
321	0.268579278
322	0.2683969783
323	0.2682899825
324	0.2681492062
325	0.2680560553
326	0.2679445663
327	0.2678570509
328	0.2677007859
329	0.2676309005
330	0.2674092689
331	0.2672603059
332	0.2671532787
333	0.2670076623
334	0.2669255726
335	0.2668254456
336	0.2667410151
337	0.2666638662
338	0.2665819968
339	0.2664979091
340	0.2664339249
341	0.2663765041
342	0.2662437099
343	0.2660879636
344	0.2659186043
345	0.2658028426
346	0.265627087
347	0.2655153937
348	0.2653709618
349	0.2652728396
350	0.2651984309
351	0.2650294277
352	0.2649333133
353	0.2647804109
354	0.2647077641
355	0.2645429647
356	0.2644971871
357	0.2643971514
358	0.2642551502
359	0.2641137569
360	0.2640197538
361	0.2639609828
362	0.2638801949
363	0.2637425961
364	0.2636340553
365	0.26351947
366	0.2633423295
367	0.2632703565
368	0.2631893557
369	0.2630987242
370	0.2629760943
371	0.2628508357
372	0.2627468468
373	0.2625958291
374	0.2624386876
375	0.2623858118
376	0.262258251
377	0.2621900308
378	0.2620838449
379	0.2619922273
380	0.2618578423
381	0.2617581573
382	0.2617044753
383	0.2615998939
384	0.2615150156
385	0.261358121
386	0.2612727604
387	0.2611145642
388	0.2610253754
389	0.2608262607
390	0.2605839109
391	0.260452123
392	0.2604089441
393	0.2603666852
394	0.2602181825
395	0.2600834018
396	0.2599914899
397	0.2599198771
398	0.2598285157
399	0.2597597286
400	0.2596665518
401	0.2595439409
402	0.2594648207
403	0.2593783138
404	0.2593285808
405	0.2592680368
406	0.2592077875
407	0.2591394941
408	0.2589178731
409	0.2587226295
410	0.2586514526
411	0.2584772655
412	0.2584260294
413	0.2583585561
414	0.2582613233
415	0.2581977963
416	0.2581003348
417	0.2580019526
418	0.2579114782
419	0.2577934546
420	0.2576669547
421	0.2575631655
422	0.2574944154
423	0.2573762177
424	0.2571623222
425	0.2569850864
426	0.2568759937
427	0.2567177081
428	0.256569035
429	0.2563595794
430	0.2562130944
431	0.256123396
432	0.2560333792
433	0.2559542006
434	0.2558848427
435	0.2557663554
436	0.2557186869
437	0.2556350299
438	0.255551372
439	0.2554691771
440	0.255420226
441	0.2553404553
442	0.2551259844
443	0.2549874196
444	0.2548744449
445	0.2547803289
446	0.2546711034
447	0.2545971486
448	0.254556158
449	0.2544866923
450	0.2543896157
451	0.2542924083
452	0.2541729955
453	0.2540889975
454	0.2538781644
455	0.2536585303
456	0.2535794042
457	0.2534675266
458	0.2533985688
459	0.2531862253
460	0.2530595559
461	0.2529831684
462	0.2528648365
463	0.2528103948
464	0.252718504
465	0.2526145433
466	0.2525792067
467	0.2524518112
468	0.2523049559
469	0.2522023937
470	0.2521235624
471	0.2520728441
472	0.2520050432
473	0.2519686863
474	0.2518938222
475	0.2518568571
476	0.2517816343
477	0.2516487561
478	0.2515508344
479	0.2514656482
480	0.2514314027
481	0.2513660841
482	0.2512982744
483	0.2511464023
484	0.2510838006
485	0.2510041248
486	0.2509236029
487	0.2508051731
488	0.2506474375
489	0.2505355665
490	0.2504045762
491	0.2503368146
