iter	Passed	Remaining
0	15	15533
1	30	15253
2	45	15219
3	61	15217
4	77	15370
5	93	15439
6	108	15433
7	123	15327
8	138	15251
9	152	15123
10	168	15133
11	184	15165
12	199	15157
13	214	15113
14	229	15049
15	246	15148
16	262	15193
17	277	15143
18	291	15050
19	306	14999
20	322	15014
21	337	15007
22	352	14992
23	368	14977
24	383	14953
25	398	14921
26	412	14878
27	427	14838
28	442	14822
29	458	14835
30	477	14915
31	493	14931
32	509	14925
33	529	15032
34	562	15503
35	593	15880
36	617	16062
37	650	16457
38	676	16679
39	706	16958
40	726	16993
41	745	17010
42	765	17028
43	782	16995
44	799	16962
45	816	16926
46	833	16899
47	850	16861
48	867	16831
49	884	16808
50	906	16867
51	925	16863
52	943	16865
53	961	16835
54	978	16808
55	995	16785
56	1012	16754
57	1031	16747
58	1053	16802
59	1073	16819
60	1093	16830
61	1113	16846
62	1137	16912
63	1159	16959
64	1179	16963
65	1203	17028
66	1223	17035
67	1243	17036
68	1262	17034
69	1281	17027
70	1305	17080
71	1346	17356
72	1373	17441
73	1402	17544
74	1426	17587
75	1453	17668
76	1484	17790
77	1504	17778
78	1521	17739
79	1540	17717
80	1559	17696
81	1579	17678
82	1597	17649
83	1616	17624
84	1634	17594
85	1652	17566
86	1672	17547
87	1690	17522
88	1708	17491
89	1729	17489
90	1748	17464
91	1766	17433
92	1783	17394
93	1801	17364
94	1818	17321
95	1835	17287
96	1853	17252
97	1870	17218
98	1887	17181
99	1905	17150
100	1923	17118
101	1941	17092
102	1962	17090
103	1980	17062
104	2000	17055
105	2018	17022
106	2037	17001
107	2054	16969
108	2073	16947
109	2091	16923
110	2110	16900
111	2127	16869
112	2144	16832
113	2161	16802
114	2179	16774
115	2197	16746
116	2215	16721
117	2233	16694
118	2251	16670
119	2269	16644
120	2288	16625
121	2307	16606
122	2325	16578
123	2342	16545
124	2358	16511
125	2377	16493
126	2388	16419
127	2406	16395
128	2429	16405
129	2448	16385
130	2466	16364
131	2486	16353
132	2505	16334
133	2523	16310
134	2542	16293
135	2562	16277
136	2580	16254
137	2601	16247
138	2621	16236
139	2640	16220
140	2660	16206
141	2679	16189
142	2700	16181
143	2720	16173
144	2740	16159
145	2760	16146
146	2782	16148
147	2805	16147
148	2826	16143
149	2850	16151
150	2871	16143
151	2891	16130
152	2910	16111
153	2931	16101
154	2949	16082
155	2970	16070
156	2989	16051
157	3008	16030
158	3027	16015
159	3048	16003
160	3068	15991
161	3097	16025
162	3151	16183
163	3175	16187
164	3197	16181
165	3217	16166
166	3237	16150
167	3268	16186
168	3294	16200
169	3316	16191
170	3337	16180
171	3361	16180
172	3383	16173
173	3405	16165
174	3428	16163
175	3450	16155
176	3474	16156
177	3497	16151
178	3518	16138
179	3540	16127
180	3561	16114
181	3581	16096
182	3601	16079
183	3622	16063
184	3641	16041
185	3660	16020
186	3681	16007
187	3702	15993
188	3723	15978
189	3743	15960
190	3763	15939
191	3782	15919
192	3802	15898
193	3822	15880
194	3841	15858
195	3860	15837
196	3880	15816
197	3901	15802
198	3923	15791
199	3943	15774
200	3962	15753
201	3983	15736
202	4003	15719
203	4023	15699
204	4042	15677
205	4061	15655
206	4082	15639
207	4101	15618
208	4121	15598
209	4142	15582
210	4160	15558
211	4181	15540
212	4200	15519
213	4218	15495
214	4237	15472
215	4256	15447
216	4275	15428
217	4295	15407
218	4314	15387
219	4333	15365
220	4353	15346
221	4373	15327
222	4394	15310
223	4414	15293
224	4433	15272
225	4452	15250
226	4473	15234
